January 22, 2021||Kanpur||300 Odisha farmers on way to Delhi stopped near Kanpur||KANPUR: The Kanpur district police stopped over 300 Odisha farmers in Maharajpur on Kanpur-Fatehpur border on Wednesday night. The farmers were on way to Delhi to express solidarity with the protesting farmers, who have planned to take out a tractor rally on the Delhi border on Republic Day. UP in charge of Nav Nirman Kisan Sanghatan Himanshu Tiwari claimed that the farmers travelling in half-a-dozen buses were detained in Ruma area. However, the district administration denied the charge. Tiwari claimed, “police have detained nearly 300 farmers, who, under the leadership of national convener Nav Nirman Kisan Sanghatan Akshay Kumar, were heading towards Delhi to express solidarity with the protesting farmers, who have planned a mega tractor rally there on Republic Day, in six buses from Odisha. They had left Odisha on January 15.” “As soon as the farmers entered the UP border, police stopped them. We urge all citizens, farmers and political leaders to support the farmers,” said Tiwari adding, “The government can’t stop us from reaching Delhi to raise our voice against these laws.” ADM (City) Atul Kumar said, “Following local intelligence inputs, police force had been deployed at vulnerable points on the outskirts of the district in order to maintain peace in the area. They were stopped from entering the district as Section 144 CrPC is in force.” He, however, rubbished allegations regarding detention and harassment of farmers.||http://timesofindia.indiatimes.com//city/kanpur/300-odisha-farmers-on-way-to-delhi-stopped-near-kanpur/articleshow/80393136.cms||Faiz Rahman Siddiqui
January 22, 2021||World||Nepal PM Oli thanks India for Covishield vaccine||KATHMANDU: Nepal Prime Minister KP Oli on Thursday thanked the Indian government for sending 1 million doses of Covishield vaccine under a grants assistance programme. "I thank Prime Minister Shri @narendramodi ji as well as the Government and people of India for the generous grant of one million doses of Covid vaccine to Nepal at this critical time when India is rolling out vaccination for it's own people," Oli tweeted. I thank Prime Minister Shri @narendramodi ji as well as the Government and people of India for the generous grant o… https://t.co/nXWYvYpLii— K P Sharma Oli (@kpsharmaoli) 1611223731000Earlier in the day, India delivered 2 million vaccine doses to Bangladesh also under the grants assistance programme. On Wednesday, India sent 1,50,000 doses of Covishield vaccines to Bhutan and 1,00,000 doses to the Maldives. Prime Minister Narendra Modi replied to Oli's tweet. "Thank you PM @kpsharmaoli. India remains committed to assist the people of Nepal in fighting the Covid-19 pandemic. The vaccines being made in India will also contribute to the global efforts to contain the pandemic," Modi wrote on the microblogging platform. India, one of the world's biggest drugmakers, has been approached by numerous countries for its anti-coronavirus doses. While the Oxford-AstraZeneca's Covishield is being manufactured by the Serum Institute, the Covaxin doses are being produced by Bharat Biotech. India had earlier supplied hydroxychloroquine, Remdesivir and paracetamol tablets, as well as diagnostic kits, ventilators, masks, gloves and other medical supplies to a large number of countries to help them deal with the pandemic.||http://timesofindia.indiatimes.com//world/south-asia/nepal-pm-oli-thanks-india-for-covishield-vaccine/articleshow/80393266.cms||---
January 22, 2021||World||Joe Biden proposing 5-year extension of nuke treaty, says US official||WASHINGTON: The Biden administration is proposing to Russia a five-year extension of the New START treaty limiting the number of US and Russian strategic nuclear weapons, a US official said Thursday. The proposal was being communicated to Russian officials, said the official, who spoke on condition of anonymity to discuss a matter not yet publicly announced by the administration. The treaty is set to expire in February and is the last remaining agreement constraining US and Russian nuclear weapons.||http://timesofindia.indiatimes.com//world/us/joe-biden-proposing-5-year-extension-of-nuke-treaty-says-us-official/articleshow/80393363.cms||---
January 22, 2021||World||Central Africa declares emergency as rebels try to oust president||BANGUI: The Central African Republic on Thursday imposed a 15-day state of emergency after rebels tried to blockade the capital Bangui and topple newly re-elected President Faustin Archange Touadera. "The state of emergency has been proclaimed across the national territory for 15 days, starting from midnight (2300 GMT)," presidential spokesman Albert Yaloke Mokpeme said over national radio.||http://timesofindia.indiatimes.com//world/rest-of-world/central-africa-declares-emergency-as-rebels-try-to-oust-president/articleshow/80393901.cms||---
January 22, 2021||Business||Sensexceptional: BSE index breaches 50,000 mark for first time||MUMBAI: On a good day on Dalal Street—which houses the headquarters of BSE, Asia’s oldest stock exchange—one can hear talk of ‘teji’ in the market, indicating a bullish session. On bearish days, the dominant term is ‘mandi’. Then there are those days when even seasoned players can’t fathom the market’s trajectory and turn philosophical, saying ‘Bhav Bhagwan Chhe’ (price is god). Lately, more traders have been looking skyward as the sensex, the 30-share pack that is the most popular gauge of market sentiment in India, has gone on a record-setting spree. From a multi-year low of 25,639 points on March 24 last year, the sensex crossed the 50K mark to a lifetime high at 50,181 points on Thursday. That’s a double vault in only 10 months. It’s not that the sensex is new to milestones in its 41-year journey (the base year is taken as April 1, 1979) but the fact that this ‘fast fifty’ came despite a pandemic, one of the world’s strictest lockdowns, weak industrial production numbers, sliding exports and selling by most domestic institutions is what makes it thrilling or alarming, depending on what kind of investor you are. Thanks to the 10-month rally, investors’ wealth, measured by BSE’s market capitalisation, has also been breaking the ceiling regularly and is currently within touching distance of Rs 200 lakh crore or about $2.7 trillion, exchange data showed. Nifty on the NSE, which is actually ahead of BSE in terms of volume and turnover, has been following a similar trajectory. Read AlsoExplained in 12 charts: How sensex breached 50,000-markThe benchmark BSE Sensex achieved a remarkable milestone on Thursday by breaching the 50,000-mark for the first time ever. The Covid-19 pandemic dragged the Sensex to record low in late March. However, it staged a recovery from the lows. Both the BSE and NSE indices finally wrapped up 2020 on a“If it (the stock market) runs at this speed, in a couple of years we will be a $5 trillion stock market, even if we lag in becoming a $5 trillion economy by quite a distance,” a trader said, in a reference to PM Narendra Modi’s statement in mid-2019 that India would be a $5 trillion economy by 2024. The current market cap also makes India one of a handful of countries to have a market cap to GDP ratio of almost 1:1. Unfortunately, that ratio is also one of the popular indicators of a highly unsustainable stock market, a theory first propagated by billionaire investor Warren Buffet and followed by many others to decide whether to buy or sell a market. On the valuations front too, the sensex is at an all-time high price-to-earnings ratio of 34.4, compared to its 10-year average of 21.8. This ratio in essence indicates the amount in rupees an investor is willing to pay for every rupee of a company’s earnings. Foreign funds, however, do not seem to be worried either by the Buffet indicator or the all-time high PE ratio. They have been pumping in a record amount of money into the domestic market. Since October, foreign portfolio investors (FPIs) have net pumped in over Rs 1.6 lakh crore, or about $21.2 billion, making India the largest recipient of foreign funds among emerging markets. In comparison, mutual funds have been selling stocks aggressively with the net outflow at nearly Rs 75,400 crore, official data showed. According to Shiv Sehgal, president—institutional client group, Edelweiss Securities—a combination of global and domestic factors has led to this rush for Indian stocks among foreign fund managers. “Across the world, the news of Covid-19 vaccines and a Democratic victory in the US augur well for global reflation. On the domestic front as well, the absence of a second wave and a strong bounceback in pent up demand have given a fillip to high frequency indicators like GST collections, imports, PMI, etc,” Sehgal said. In addition, he feels that surprise earnings by India Inc are prompting analysts to up price targets for leading stocks. Corporate earnings have bounced back despite weak demand, which in turn is giving confidence to investors that stock prices will sustain once demand revives. Lastly, “domestic financial conditions have been kept quite benign by the RBI. After all, this is a necessary if not sufficient condition to revive risk sentiments,” Sehgal said. “Given the high foreign ownership (of Indian companies), risk on sentiments aid India disproportionately.” The nearly 10-month old rally has been mostly led by a handful of stocks that include Infosys, Reliance Industries, TCS, HDFC Bank and HDFC. In the earlier part of the rally while RIL, some banks and financials lifted the sensex, IT soon took over the lead and then pharma joined in. The rally in RIL was backed by a record foreign fund infusion in its telecom and retail subsidiaries. The strong buying in IT, banks and pharma stocks emerged after investors realised that as people remained confined to their homes due to Covid-induced issues, the demand for technology-driven solutions, healthcare and finance was increasing. As sector leaders were able to rise to the new challenges and meet those demands, their stock prices also galloped, market players said. In Thursday’s market, the sensex started the session at 50,097 points, scaled a new life-high at 50,184 points and after a late sell-off that shaved off over 800 points from the day’s high, closed at 49,625, down 167 points on the day. Selling in HDFC Bank, HDFC and Bharti Airtel contributed the most to the day’s selling while buying in RIL, Bajaj Finance and Bajaj Auto cushioned the slide to a large extent. On the NSE, the nifty too rose to a new life high at 14,754 points but closed lower at 14,590 points, down 54 points on the day. Technically, the indices are at crucial levels. On daily charts, the nifty and sensex are showing formations which suggest “high chances of quick intraday correction”, Shrikant Chouhan, EVP—equity technical research, Kotak Securities—wrote in a note. At a nifty level of below 14,750, correction could continue till 14,550-14,500, while on the up side, 14,750 would be the immediate hurdle for the bulls, Chouhan said. Watch Mumbai: Celebrations at BSE after Sensex breaches 50,000-mark||http://timesofindia.indiatimes.com//business/india-business/sensexceptional-sensex-breaches-50000-mark-for-first-time/articleshow/80394318.cms||Partha Sinha
January 22, 2021||Chennai||Why so hasty with PWD’s Rs 2,855 crore tenders, asks Stalin||CHENNAI: DMK president M K Stalin on Thursday questioned chief minister Edappadi K Palaniswami for the urgency being shown in floating tenders worth 2,855 crore by the public works department (PWD) in the past three months. “With notification for the assembly election expected in about a month, chief minister Edappadi K Palaniswami has been showing undue haste to get the PWD to float several tenders in the months of November and December 2020 and in January 2021,” Stalin said in a statement. Stalin warned officials and other staff, who are assisting in the process, of action once the DMK returns to power. “Once we come to power, we will cancel all these tenders and bring to book those involved in the irregularities,” Stalin said. The state government has been citing lack of funds for timely payment of old age pensions and for workers under the rural employment guarantee scheme, said Stalin. “But how come the government has enough money to undertake civil construction work in water bodies, including check dams, and float tenders for them?” he asked. Meanwhile, in a social media post, Stalin condemned the state government’s order asking students of a medical college near Chidambaram, taken over the government, to vacate their hostel rooms by Thursday evening. The students have been protesting for the past 43 days against high fees being charged by the college, even though it is now being run by the government. “I have raised this issue and asked the state government to collect fee on a par with other government run medical colleges and not as a private institution. But the state government has not acted on my request,” Stalin said, while asking the government to ensure the safety of the students in the wake of the hostel being closed forcibly.||http://timesofindia.indiatimes.com//city/chennai/why-so-hasty-with-pwds-2855-crore-tenders-asks-stalin/articleshow/80394592.cms||---
January 22, 2021||Business||RBI sees V-shaped recovery, likely room for policy easing||MUMBAI: Forecasting a V-shaped recovery, Reserve Bank of India has said that if growth momentum continues and inflation stays benign there would be room for policy action to support growth. This observation comes in the central bank’s State of the Economy report released on Thursday. This comes at a time when the central bank has started 'normalising’ the liquidity in the money markets by draining out the surplus it had pumped in to stave off an economic crisis in the wake of the Covid-19 pandemic. “Recent shifts in the macroeconomic landscape have brightened the outlook, with GDP in striking distance of attaining positive territory and inflation easing closer to the target. If these movements sustain, policy space could open up to further support the recovery,” RBI said in the report.  !function(){"use strict";window.addEventListener("message",(function(a){if(void 0!==a.data["datawrapper-height"])for(var e in a.data["datawrapper-height"]){var t=document.getElementById("datawrapper-chart-"+e)||document.querySelector("iframe[src*='"+e+"']");t&&(t.style.height=a.data["datawrapper-height"][e]+"px")}}))}(); Stating that the worst of the Covid-19 crisis is now behind RBI quoting William Shakespeare wrote: “Recent high-frequency indicators suggest that the recovery is getting stronger in its traction and soon the winter of our discontent will be made glorious summer,”. The report states that consumer confidence is expected to improve from January 2021, peak in July 2021 and continue till September ahead of the next festival season “Going forward, two positive features are going to shape up the fiscal landscape in H2. First, the general government gross fiscal deficit to GDP ratio is likely to moderate to 10.4%. This development will be revenue-driven as the war effort of H2 bears fruit and receipts return to positive territory. Second, the quality of the fiscal deficit is also likely to be better in H2,” the report said. The RBI also sees a revival in non-oil exports due to rise in shipments of drugs and pharmaceuticals, agricultural items and iron ore. “India is already manufacturing 60 per cent of the vaccines sold globally. Furthermore, the production linked incentive (PLI) scheme introduced for bulk drugs and medical devices has received a positive response and is expected to support pharmaceutical and medical exports going forward,” RBI said.||http://timesofindia.indiatimes.com//business/india-business/rbi-sees-v-shaped-recovery-likely-room-for-policy-easing/articleshow/80394847.cms||---
January 22, 2021||India||Bodies of four fishermen from Tamil Nadu found in Sri Lanka||TRICHY: The bodies of four Tamil Nadu fishermen reported missing since they went out to sea from the Kottaipatinam jetty in Pudukottai district last Monday washed ashore on a Sri Lankan beach on Thursday, the Indian high commission in Colombo was informed. Another group of fishermen who had set sail alongside the boat carrying the victims alleged that the quartet was attacked by the Sri Lankan Navy while fishing mid-sea. Navy officials on Thursday contacted the Indian mission to say that the bodies had been found. There was no official confirmation about how the fishermen died. Tamil Nadu CM Edappadi K Palaniswami sought an investigation into the deaths and wrote to Prime Minister Narendra Modi, requesting him to take up the issue with Sri Lanka. Read AlsoTamil Nadu CM condoles death of four Pudukottai fishermen after alleged attack by Sri Lankan NavyCondoling the death of four fishermen from Ramanathapuram, who went fishing at Kottaipattinnam of Pudukottai district on Thursday, chief minister Edappadi K Palaniswami wrote to the Prime Minister Narendra Modi seeking for an investigation through the Indian high commission.The deceased have been identified as A Mesiya, V Nagaraj, S Senthil Kumar and N Samson Darwin, all of them from Ramanathapuram district. They were together in one among 214 fishing boats that had set out from the jetty around the same time. According to G Arockiaraj, one of the other fishermen, the boat came under attack from the Sri Lankan Navy near Katchatheevu. “They began dashing their vessel against the boat. Some of us tried to rescue our mates but had to flee as we feared for our lives. We came back and informed the authorities,” he said. The next day, the fishermen accompanied an Indian Coast Guard team looking for their missing colleagues, but the search proved futile. Condemning the alleged attack, CM Palaniswami said he would approach the Centre to ensure steps were taken to prevent such incidents. He announced ex gratia of Rs 10 lakh each to the kin of the deceased from the CM’s Relief Fund, a government job for an eligible member from each family and compensation to the boat owner. DMK president M K Stalin and other opposition functionaries slammed the Centre for allegedly remaining a mute spectator and not condemning the Sri Lankan Navy for the deaths. “The killings happened just weeks after the visit of external affairs minister S Jaishankar to Sri Lanka. This shows that the ruling dispensation in the island nation has no regard for the Indian people and their government,” Stalin said.||http://timesofindia.indiatimes.com//india/bodies-of-four-fishermen-from-tamil-nadu-found-in-sri-lanka/articleshow/80395014.cms||---
January 22, 2021||India||Vaccination drive: Fewer takers for Covaxin among healthcare workers||Bhawani Sharma, a nursing staff at Kanwatia Hospital in Jaipur, has been spending a lot of time these days doubling up as a self-styled counsellor. Sharma took the Covaxin jab on Saturday when the vaccination drive was rolled out across the country but found many of her colleagues hesitant to roll up their sleeves for a shot of the indigenously-developed Covaxin. “I have had no side effects,” Sharma has been going around telling others in her hospital. Five days into the nationwide drive — which saw the first phase being rolled out for healthcare workers in the frontline of Covid duty — and the dilemma whether to take the Covaxin jab has left beneficiaries in a fix. In none of the six cities, where Covaxin was made available, that TOI surveyed, did the percentage of healthcare workers going for the Covaxin shot reach 50%. Till Tuesday evening, Patna and Jaipur had clocked the highest of 49% while Mumbai and Delhi were at 31% and 33% respectively. Hospitals administering the vaccine have reported a higher percentage of beneficiaries taking the Covishield shot. “There is some hesitancy. We have seen some outright refusals too. However, what has equally contributed to the low acceptability are the glitches in the Co-Win application. We have not been able to intimate beneficiaries on time,” said Dr Lalit Sankhe, nodal officer for Covaxin at Mumbai’s JJ Hospital, the only centre in Mumbai with Covaxin. In Delhi, doctors have reported a “little higher hesitancy for Covaxin due to lack of efficacy data.” Covaxin is being administered in six central government-run hospitals in Delhi whereas Covishield is being given in all state-run and private hospitals. This has led to confusion and dissatisfaction among healthcare workers “Several doctors and PG students are not ready to take Covaxin as the third trial of this vaccine is in its initial stage. At least, the efficacy rate of Covishield is around 70% after its final trial,” said Dr Vinay Kumar, a senior resident at the AIIMS-Patna. In Pune, an official of the district hospital in Aundh said there was a general feeling among healthcare workers that they were being used as “guinea pigs”. “There are reports of anaphylactic reactions. I have decided to wait and I have also asked my junior doctors to wait,” said a senior gynecologist based in Chennai. (With inputs from Delhi, Mumbai, Chennai, Patna, Jaipur and Pune)||http://timesofindia.indiatimes.com//india/vaccination-drive-fewer-takers-for-covaxin-among-healthcare-workers/articleshow/80395554.cms||---
January 22, 2021||India||Twitter faces IT panel heat over Amit Shah's ban in November||NEW DELHI: Twitter India officials on Thursday faced a barrage of questions from members of the parliamentary standing committee on information technology over the social media platform’s decision to temporarily block home minister Amit Shah’s Twitter account in November last year. While Twitter had then claimed the episode was an “inadvertent error”, its officials told the Shashi Tharoor-headed House panel that the account had to be blocked on account of “copyright issues” over a picture that had been posted. BJP MP Nishikant Dubey, sources said, asked how Twitter could refer to itself as a “healthy social media platform” when its ‘Fact Checker’ failed to identify the home minister and blocked his account. Twitter had also offended India’s sovereignty by depicting an incorrect map of India, which showed Leh as a part of Chinese territory. Panel chairman Shashi Tharoor is also learnt to have quizzed Twitter over its recent unilateral and permanent ban on former US President Donald Trump from the social media platform. The panel observed that though social media owed the responsibility to ensure people’s safety, it should explain why it indulged in censorship especially when it often called itself a mere data intermediary. Social media has often used this description to avoid being held to being a publisher which comes with certain legal liabilities. Sources said Tharoor also questioned the role of social media in perpetuating incendiary messages, referring in particular to Facebook and Twitter’s role in fanning the violence on Capitol Hill in the US earlier this month, as well as during the Delhi riots in February last year. Panel members, TOI has learnt, grilled Facebook over the recent changes in WhatsApp privacy rules and why the platform imposed different sets of rules for India and the rest of the world. Members, while debating the issues of community standards versus the law, also agreed, unanimously, that the existing Indian laws governing digital media needed to be “updated” and made more robust.||http://timesofindia.indiatimes.com//india/twitter-faces-it-panel-heat-over-amit-shahs-ban-in-november/articleshow/80395837.cms||Swati Mathur
January 22, 2021||India||Only widow, not dad, has right to dead man’s sperm: Calcutta high court||KOLKATA: Only a widow has the right to her dead husband’s sperm, the Calcutta high court has ruled, turning down an appeal by a father to be given his only son’s sperm, which lies preserved in a Delhi sperm bank. The father had moved the high court in March 2020 saying their daughter-in-law has not only refused to give them her assent to get the sperm but has also refused to acknowledge their pleas. The father feared that if the sperm was destroyed, or unused during the period of agreement with the hospital sperm bank, his family would “lose their clan”. The HC said the sperm preserved at the Delhi hospital “belonged to the deceased” and, since he was married when he died, “the only other person, apart from the deceased, having any right to it is his wife”. The court added that the “father-son relationship of the petitioner and the deceased does not entail any such right of the petitioner to the progeny of his son”. The hospital wrote to the father in 2019 saying “that the further usage of sperm, that is, for providing pregnancy to the donor’s wife, donation to someone else or discarding, can be decided only after the permission of the patient’s wife”, and that proof of marriage was required. His son died in 2018.||http://timesofindia.indiatimes.com//india/only-widow-not-dad-has-right-to-dead-mans-sperm-calcutta-high-court/articleshow/80396053.cms||Subrata Chattoraj
