username,bio,category,
Zee_Hindustan,हमारा संवाद राष्ट्रवाद | दुनिया का नंबर 1 राष्ट्रवादी न्यूज चैनल | विशुद्ध असली खबरें For 24x7 LIVE Streaming Click here: https://t.co/MgUE6SBRDz App - https://t.co/SODBPU1OQc,media
news24tvchannel,News24 is India’s leading hindi news channel. Follow us for all the breaking news and latest alerts.  YT - https://t.co/LrFY4wWUHt FB - https://t.co/NoyLfaEkg7,media
oneindiaHindi,"देश-दुनिया, अपने राज्य और शहर की सच्ची और अच्छी खबरों से पल-पल रहें अपडेट - https://t.co/HTiZAUHwQv",media
punjabkesari,We were born in 1948 as the Hind Samachar. A fledgling newspaper that has spawned into the Punjab Kesari Group of Newspapers.  https://t.co/NOQ1ITho1l,media
IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",media
aajtak,"AajTak covers breaking news, latest news in politics, sports, business & cinema. Follow us & stay ahead! Download the App:   https://t.co/J3rnVVWzX8",media
TimesNow,TIMES NOW is India’s most watched English news channel. Follow for lightning fast #BreakingNews and #Alerts.,media
abpsanjha,"ABP Sanjha is the Punjabi language news page. It covers latest news from Punjab on Politics, Entertainment, Sports and Business etc.",media
DainikBhaskar,"India's Biggest Hindi Newspaper & News App. For Realtime News Updates, Local News for 2000 cities, Short Video News, Download our App: https://t.co/z3E8SCVpiW",media
ptcnews,"Official Twitter account of PTC NEWS, the leading Punjabi News channel, a source of all news related to Punjab and Punjabiyat worldwide.",media
ABPNews,Follow for latest news alerts from India. Download the App Now 👉🏻https://t.co/u07bpK1Nyp,media
ZeePunjabHH,"पंजाब, हरियाणा, हिमाचल और जम्मू-कश्मीर की ख़बरों के लिए बने रहिए हमारे साथ... Follow Us- @ZeePunjabHH",media
thewirehindi,"सरकारी व कॉरपोरेट दबावों से मुक्त, जनतांत्रिक मूल्यों को आगे ले जाने और जनता से जुड़े उपेक्षित मुद्दों को मुख्यधारा में लाने के लिए प्रतिबद्ध पत्रकारिता संस्थान",media
JagranNews,Dainik Jagran's Official Account. The World's Largest Read Newspaper,media
TNNavbharat,"अब बदलेगा भारत, बनेगा नवभारत - A Times Network Company",media
JagbaniOnline,"The Punjab Kesari Group's punjabi daily, Jag Bani was launched on July 21, 1978.",media
thatsMalayalam,"വാർത്ത, വിനോദം, സാഹിത്യം എന്നിവ മനസറിഞ്ഞു വായിക്കാവുന്ന പ്രമുഖ മലയാളം പോർട്ടൽ.",media
swaraj_abhiyan,"Swaraj Abhiyan is an honest, persistent effort to transform goodness and righteousness to reality. A process of transforming self and society.",
_SwarajIndia,"This is the official account of Swaraj India, a Political Party with a mission to usher in probity, transparency and accountability in electoral politics.",
HindustanTimes,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,media
ndtv,Breaking news alerts from India.  Instagram: https://t.co/QrV2OUzOYo YouTube: https://t.co/INzHBLFd1l,media
htTweets,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements,media
AmarUjalaNews,अमर उजाला जोश! सच का! देश-दुनिया की ताजा खबरों से जुड़े रहने के लिए लॉग ऑन करें: hhttp://amarujala.com हमारे अन्य चैनल @amarujalakavya और @AmarUjalaAwaaz हैं.,media
Outlookindia,The fully loaded news magazine from India,media
ndtvvideos,Videos from NDTV Newsroom,media
CPIM_WESTBENGAL,"Official Twitter handle of the Communist Party of India (Marxist), West Bengal State Committee",cpim
GaonConnection,"India's biggest rural media platform. Video. Audio. Ground Activation. Surveys. Winner: Ramnath Goenka Awards 2012,13,18; Laadli, Founder: @neeleshmisra",media
ssrajputINC,National Media Panelist of Congress Party,congress
fpjindia,The voice of #Mumbai. The Free Press Journal is one of the oldest English daily newspapers from Mumbai with a heritage of more than 90 years.,media
News18India,Latest news and updates from across the nation.,media
indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/IJtJpoipue,media
ANI,"Asian News International. Multi-media news agency, content for information platforms: TV, Internet, broadband, newspapers, mobiles https://t.co/PjGRhL4qvg",media
LiveLawIndia,World's No.1 Legal News Website In Terms Of Traffic And Content. Support Us Here: https://t.co/YOo3o1fIxt. Visit Our Channel: https://t.co/HUbwO8jdFQ,media
TV9Marathi,"टीव्ही 9 मराठी' - #मराठी माणसांच्या हक्काचं व्यासपीठ | राज्य, राष्ट्रीय आणि आंतरराष्ट्रीय बातम्यांचे सुपरफास्ट अपडेट",media
Oneindia,"https://t.co/30Gam11zgf is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.",media
TOICitiesNews,Unmatched coverage from over 60 cities across India brought to you by https://t.co/VSKi1mkZBr,media
NavbharatTimes,"Latest India News in Hindi, India Breaking News in Hindi, Latest India News, भारत समाचार, National News  https://t.co/otflwmhQGa",media
zeerajasthan_,WATCH VIDEOS AND LIVE : https://t.co/VaKfCACINk… & https://t.co/Hom0veEK4U…,media
tv9gujarati,NO.1 GUJARATI NEWS CHANNEL. Follow us for breaking news and updates from Gujarat and India. For latest News Videos Subscribe https://t.co/KMXU8OdKK1,media
AsianetNewsHN,एशिया नेट न्यूज हिंदी एशिया नेट न्यूज नेटवर्क का वो मजबूत स्तंभ है जो आपको पूरे भारत की खबरें हिंदी भाषा में पहुंचाता है।,media
timesofindia,"News. Views. Analysis. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper - A Times Internet Limited Product",
latestly,"https://t.co/UVDtERUJlr focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news.",media
thetribunechd,"Official Twitter handle of The Tribune, North India’s oldest and most trusted newspaper, published from Chandigarh, India. https://t.co/mHAI97UlkX",media
DrArchanaINC,Chairperson Social Welfare Board Government of Rajasthan,congress
