April 28, 2020||Bengaluru||Single people make a beeline for quirky and bizarre online relationship courses in Bengaluru||Forced to remain indoors due to the ongoing lockdown, several people have taken up online courses to either upskill or follow a passion long forgotten. The result, has been a boom in online offerings varying from personal fitness training to music and theatre workshops, and skill development classes like gardening and cooking. Then there’s also the fraction of people who are keen on learning how to ace their relationship game before the lockdown ends. From getting over an ex to how to be relationship-ready before lockdown endsWhith more time on hand, a lot of the city’s singles are enrolling for courses in an effort to find a partner, at least after the lockdown. Content writer Nazia Javed* says, “I am in my late 30s. Evenings in Bengaluru were usually filled with activities with friends — be it watching a play, going to a concert or just chilling at a pub. Being alone at home during this lockdown has not been cool. It has made me realise why I should look for someone. I chose to try a course on getting over my ex, to begin with.” In the case of Ajay Krishnan*, who owns a travel start-up, friendships have been easy, but relationships have been a problem. “I find it hard to sustain a relationship, none have lasted beyond three months. With this time in hand, I decided to enroll in a course that promises to help people like me,” he reasons. ‘It’s all about introspection and growth’Priyanka Bharadwaj, who recently launched a course on learning to attract the right partner in 30 days, says, “These courses help people introspect, and, in a way, aid emotional growth. People are looking at investing time on themselves while they can. I think the lockdown has had a mixed impact on singles. While physical connection is important in dating, the lockdown actually has worked better for those who prefer to get to know someone before they meet. Participants have been finding creative ways to engage with their dates online.” (*Some names have been changed) Wanna change your relationship status? Courses promise to teach you these:  How to win your former lover back How to get over your ex How to impress on dating apps Essential oils for relationships Sun sign compatibility Relationship building after an affair||http://timesofindia.indiatimes.com//city/bengaluru/single-people-make-a-beeline-for-quirky-and-bizarre-online-relationship-courses-in-bengaluru/articleshow/75413642.cms||Sunayana Suresh
April 28, 2020||Chandigarh||From ‘roohani dikkat’ to ‘meeting fiancee’, Chandigarh covidiots' funny excuses for curfew pass||CHANDIGARH: If 'request' calls from VIPs aren't enough in this pandemic and lockdown, the curfew e-pass office also has to deal with some covidiots whose excuses range from ‘roohani dikkat’ (being possessed) to ‘must meet fiancee’. The man who said he was possessed also said only his village ‘baba’ (witch doctor) in Uttar Pradesh could treat him. Asked why then his mother needed a pass, he said she too was bewitched. Whether the ghost was exorcised or not, the man was sure asked to disappear. A 27-year-old pass seeker, who must have seen the trick work in some romanctic movies, said he must travel all the way to Delhi to meet his fiancee. He said the curfew had delayed his marriage and he was desperate to see the girl once. The pass clerk dismissed the request with a curt reply: "I hate love stories." Another man who wanted the Delhi travel permit for a medical emergency almost got his way until the staff asked for hospital papers. He showed them an online note that read: "April Fool." Citing death case, a man from Uttar Pradesh tagged the body's photo with the application. No reason for doubt, except that seven more applicants had uploaded the same picture . The staff let them off with a warning. Their travel chances died with it. A businessman from one of the upscale sectors of Chandigarh applied for a pass for his mother and self, saying she had a dialysis due in a private hospital of Mohali. Two other sons of the woman had filed the same request. After verification, only one son and the mother received the pass. A senior UT official on the e-pass team said, "Of the 79,000 applications we received, we accepted only 10,200, only 300 of which remain valid now. The pass is one-time." Asked what action the office took against fraud applicants, he said, "We are too busy looking for genuine medical emergency cases." UT seek pass details from statesSince being declared a hotspot district, Chandigarh has asked Punjab, Haryana, the high court, and the municipal corporation for the details of all curfew passes they have issued. The MC issues the pass to essential service providers, the high court registrar and the states to their staff, while the Mohali and Panchkula district administrations to people who must travel withing the Tricity. UT administrator V P Singh Badnore has asked neighboring Mohali and Panchkula to follow the lockdown strictly. If people keep travelling for works and shopping, it will be difficult to to contain the infection. The procedureEvery request for curfew pass goes to the UT administration website. Along with particulars, the applicant must upload supportive documents. The applicant receives a message from the UT office that the details are being verified. After checking, the UT administration issues or rejects the e-pass and drops the applicant a message. The office is quick to issue a pass in case of medical emergency, cremation, last rites, and distribution of essential items. The facility was introduced on March 28.||http://timesofindia.indiatimes.com//city/chandigarh/from-roohani-dikkat-to-meeting-fiancee-chandigarh-covidiots-funny-excuses-for-curfew-pass/articleshow/75416529.cms||Rajinder Nagarkoti
April 28, 2020||Mangaluru||Karmikara Sahayavani is lifeline for stranded Kannadigas outside Karnataka||MANGALURU: Hora Rajyagallali Dudiyuthiruva Karnataka Moolada Karmikara Sahayavanige Kare Madidakke Dhanayavada…. This recorded message greets one calling the helpline 080-22636800 that labour department launched for migrant labourers of Karnataka origin stranded outside on Monday. Launched by CM B S Yediyurappa in the presence of minister for labour Shivaram Hebbar, this helpline landed 250+ calls within 2 hours of its launch. Manned by 150 personnel working 24x7 in three shifts of 50 each, the helpline uses a software to categorise nature of requests. At the end of each shift, the data is culled out and passed on to senior IAS officer heading the labour department, who in turn route the requests to their peers to act on. Since the helpline is a call centre, one cannot expect an immediate solution, but every call will be acted on in utmost sincerity, a person manning the helpline told TOI. Mooted by minister for ports and fisheries and inland waterways Kota Shrinivas Poojari, the helpline is a touted as a contact point for labourers outside the state to tell their grievances to the government. Majority of the calls that the helpline received were from Pune and Mumbai and one of them was also from Delhi. A few calls that were requests for urgently required groceries was routed to the Anna Dasoha helpline, the call centre operator said. Exact import of the helpline will be known after 24-hours. Functioning from Karmika Bhavan, Poojari told TOI that Kannadigas are in a piquant situation in other neighbouring states as well as other parts of India. This dedicated help line will enable the government to know about their whereabouts and draw up plans to ensure their wellbeing. “We can bring their plight to attention of authorities concerned and provide them much needed relief,” Poojari said. P Mannivannan, labour secretary on this initiative said, “We have no numbers. That is why I started this helpline as per our minister's advice to know the spread and depth of the problems faced by the Karnataka labourers working outside Karnataka. In Goa itself we have more than 1.5 lakh Kannadigas." Poojari had initiated the idea of this helpline by writing a letter to the chief minister earlier last week and the same materialised on Monday.||http://timesofindia.indiatimes.com//city/mangaluru/karmikara-sahayavani-is-lifeline-for-stranded-kannadigas-outside-karnataka/articleshow/75416530.cms||Jaideep Shenoy
---||Business||Strategies For Malls To Engage Shoppers During Uncertain Times||Strategies for Malls to Engage Shoppers during uncertain timesThe offline retail landscape has never been a static one. But it has perhaps never been as subject to constantly shifting trends and events as it is now, especially with COVID-19 moving from the backdrop to a full-frontal assault on the industry. These unpredictable times are spurring retailers to learn, unlearn, and relearn what retail customer engagement should be in a world of instant, continuous connections. And malls will be part of these transformations.As more and more brands embrace direct-to-consumer initiatives thanks to the opportunities for personalized, just-in-time engagement, there is an urgent need for malls to redefine the consumer experience and create more compelling connections from offline to online, in order to stay relevant in these testing times.Curating the mall experienceMalls have certainly become far more interactive and immersive, with the addition of technology such as virtual reality, augmented reality, beacons, and more.All of these combines to give malls a unique advantage—the ability to curate its space, offerings, and interactions based on their consumer segments’ unique interests and purchase patterns. In the current scenario of reduced offline interactions, malls must consider moving towards an omnichannel approach to customer engagement.Towards this objective, it is important that malls integrate their data from all sources and channels to gather a holistic view of their consumers and identify opportunities to engage them in new experiences. They need to figure out when, where, how, and who to engage, both within and beyond their physical parameters. They need to invest in the right technology and innovative touchpoints, strategically guide consumers to the right experiences and expedite their ongoing shopper journeys, online or offline.Driving proactive, contextual, and targeted engagementTo continue to engage with the customer even in times of potentially prolonged uncertainty, malls need to tap into data related to their behavior, profiles, propensities, and more—in order to generate incentivized shopper traffic.Here are some tactics that malls can employ: Targeted “Hero” offers The days of cookie-cutter retail experiences are over, and the same goes for offers and product recommendations. Brands should harness audience insights over time to design hero offers, reward-based campaigns and target consumers with progressively more relevant offers to move them towards purchase. Leveraging AI for optimal engagement With the emergence of certain AI-powered solutions, malls will be able to derive the channel, time, and content propensities of their consumers over the course of interactions and campaigns across touchpoints.For example, for a particular set of target audience who is more active on Thursday mornings and on SMS, malls can optimize their campaigns by sending offers at the respective preferred time and channel. Moreover, with the power of AI, malls will be able to continuously refine such insights for their entire audience base to achieve even better results in the future. Tapping on consumer traffic insights The arrival of technology such as GPS, beacons, and NFC sensors has allowed malls to not only guide consumers but engage them in real-time based on their specific location and proximity. However, in times when malls are looking for ways to engage outside the store, past data from these touchpoints can serve to inform them of audience behavior. For example, if maximum walk-ins have been experienced over the last quarter on the first ten days of the month, malls can drive digital outreach around the same timeframe and expect better conversions. Unleashing the potential of social Social media presents unprecedented opportunities for brands to interact with existing consumers and reach new audiences. It is certainly important to invest in influencer marketing tactics and leverage platforms like Facebook and Instagram to deliver targeted ad campaigns and activate new audiences through look-alike targeting. Malls also need to strategize such communications in the context of their omnichannel marketing efforts.This means harnessing real-time audience insights on social to switch from paid channels to owned ones and refine the next steps in individual consumer journeys. Staying on the consumer’s radar Malls today cannot be satisfied with simply interacting with consumers, they need to stay on their consumers’ radar. They can harness attributes such as loyalty points to deliver content recommendations through the right channels to maintain brand presence, sustain consumer interests, and entice them to action with educational or entertaining content on relevant offerings.The future of consumer engagement for malls is real-time, individualized, and omnichannel. Every other industry is going through this momentous shift. The challenge is in adapting this approach to fit the constantly changing paradigm of realities. It is a transformation that demands being nimble and making significant investments on various types of resources but the rewards—continued relevance in a shifting retail landscape, optimal spend, increased engagement, and rising top-line growth—will be well worth it.To know more visit www.resulticks.com Media Contact: Manish Sharma, Chief Project Manager, 9818287188, manish.sharma@timesgroup.comDisclaimer: Content Produced by ET Edge||http://timesofindia.indiatimes.com//business/india-business/strategies-for-malls-to-engage-shoppers-during-uncertain-times/articleshow/75417870.cms||---
April 28, 2020||India||Be ready to woo companies quitting China, PM Modi tells CMs||NEW DELHI: Prime Minister Narendra Modi, while interacting with CMs on Monday, is learnt to have suggested that states should explore the possibility of attracting investments in view of the likelihood of many companies exiting from Chinese cities in the wake of the Covid-19 virus emerging from Wuhan. The PM suggested that states should be ready for such investments as India, with abundant manpower skill and an improved infrastructure, has the potential to become an alternative destination. “As you all know, several industries will be exploring options beyond China after the coronavirus crisis. We all should work on a comprehensive plan for possibility of investments in the states,” a source quoted Modi as telling the CMs. Read our coronavirus live blog for all the latest news and updatesThe PM’s suggestion to the CMs to turn host to industries exploring options beyond China comes after his recent remarks that the country should become self-reliant to cope with the challenges like Covid-19 and marks a growing readiness to touch upon the Chinese links to the pandemic. While India, unlike US President Donald Trump and other global leaders, has refrained from using terms like “Wuhan virus” which have infuriated China and steered clear of WHO’s alleged subservience to Beijing, it has not been wary of touching up on the Chinese roots of the pandemic in public fora. Read AlsoCoronavirus: Centre, states wary of lifting curbs, graded easing on cardsThe sum of consultations PM Modi had with chief ministers on Monday, official sources said, was that most states wanted the lockdown to continue with some easing of curbs, depending on the situation in a particular area. Green zones may witness the piecemeal lifting of restrictions while toughThe government has also blocked the automatic route for FDI from nations which share land borders with India (read China), to which the neighbouring country had lodged objections.||http://timesofindia.indiatimes.com//india/be-ready-to-woo-companies-quitting-china-pm-modi/articleshow/75418023.cms||---
April 28, 2020||India||‘Fake news’: ICMR trashes claim it overpaid for test kits||NEW DELHI: The Indian Council of Medical Research dismissed as “fake news” the charge that it had paid Rs 4,500 for Covid-19 test kits it sourced from China as a controversy of sorts erupted over alleged profiteering by suppliers of the device crucial for the fight against the pandemic. The ICMR also said it had paid no money for faulty kits procured from China. “This is fake news. Price range approved by ICMR is Rs 740-1,150 for RT-PCR and Rs 528-795 for rapid test. No test has been procured at Rs 4,500. Any Indian company wanting to supply at lower rates is welcome to contact ICMR or Ms Anu Nagar, JS Health Research (01123736222),” the ICMR tweeted. @Dr_Uditraj This is Fake News. Price range approved by ICMR is ₹740-1150 for RT-PCR and ₹528-795 for Rapid Test. No… https://t.co/1w9GGaFifF— ICMR (@ICMRDELHI) 1587959387000The response, unusually strong for a staid professional body, came after Congress’s Udit Raj put out a tweet levell ing the Rs 4,500-a-kit charge. The former MP based the allegation on another tweet alleging hefty profits being extracted by a Gujarat company even as he himself kept a safe distance from it. “This is being circulated on social media. It is difficult to ascertain the truth,” Raj had posted. Underlining that procurement decisions were made amid the cut-throat global scramble for the scarce test kits with various countries deploying “their full might, monetary and diplomatic, to acquire them”, the council said its first at tempt to procure rapid antibody kits did not elicit any response from the suppliers. However, in its second attempt — which got adequate response — it identified kits from two firms (Biomedemics and Wondfo), taking sensitivity and specificity into account. Both had the requisite international certifications, ICMR said. “For Wondfo, the evaluation committee got four bids and the corresponding quotes received were Rs 1,204, Rs 1,200, Rs 844 and Rs 600. Accordingly, the bid offer of Rs 600 was considered as L-1,” ICMR said in a statement. It said while it had tried to cut out the suppliers by trying to procure the kits directly from Wondfo in China through India’s consulate general, the effort came to naught because the Chinese firm refused to give any commitment with regard to logistics, insisted on 100% direct advance without offering any guarantee. Further, Wondfo refused to commit to timelines and quoted the rates in US dollars without any clause to factor in fluctuations in exchange rates, ICMR said. It was in this context that the council decided to go for Wondfo’s exclusive distributor in India for the kit, which quoted an all-inclusive price without any clause for advance, the body said. Emphasising that India needed to procure kits, it said, “Testing is one of the most crucial weapons to fight Covid-19 and ICMR is doing everything it can to ramp up testing. This requires procurement of kits and supplying them to states.” Watch Don't use China kits, return them back: ICMR||http://timesofindia.indiatimes.com//india/fake-news-icmr-trashes-claim-it-overpaid-for-test-kits/articleshow/75418138.cms||Sushmi Dey
April 28, 2020||Patna||5 more hospitals earmarked for tests||PATNA: As the number of Covid-19 cases continues to increase in Bihar, the health department is planning to start testing samples at five more hospitals in the state. Health department additional secretary Manoj Kumar said samples would also be tested at Anugrah Narayan Medical College and Hospital (ANMMCH)-Gaya, Jawaharlal Nehru Medical College and Hospital (JLNMCH)-Bhagalpur, Jan Nayak Karpoori Thakur Medical College and Hospital-Madhepura, Vardhman Institute of Medical Sciences-Pawapuri and Nalanda Medical College and Hospital (NMCH)-Patna. As of now, the Covid-19 samples are tested at Rajendra Memorial Research Institute of Medical Sciences (RMRIMS)-Patna, Indira Gandhi Institute of Medical Sciences- Patna, Patna Medical College and Hospital, Darbhanga Medical College and Hospital and Sri Krishna Medical College and Hospital (SKMCH)-Muzaffarpur. “So far, 18,000 people have been tested at these five centres. At least 1,200 to 1,500 people are tested in the state per day,” he said. Manoj added the department is also in the process of procuring automatic RNA machine for tests. “Once this machine becomes available, the manual testing through RNA extraction kit will be done away with. While it takes almost four hours to release reports of tests done through RNA extraction kit, the RNA machine will do the job in just two hours,” he said. Earlier on Sunday, chief minister Nitish Kumar had instructed the health department to ensure availability of ventilators, test kits, PPE kits, medicines and necessary equipment from all possible sources. “The state government will provide funds for all necessary items required for test and treatment of Covid-19 patients. There is no dearth of funds. The need of the hour is to increase the number of testing facilities in the state. The officials concerned should expedite contact tracing, sample collection and testing,” Nitish had said. There are three dedicated Covid-19 hospitals in the state – NMCH-Patna, ANMMCH-Gaya and JLNMCH-Bhagalpur. There are 1,000 beds and 12 ventilators in JLNMCH, 544 beds and 18 ventilators in ANMCH and 800 beds and 20 ventilators in NMCH. Health minister Mangal Pandey said around 31,690 PPE kits, 4,20,795 ‘3-ply’ masks, 33,987 N-95 masks, 24,699 sanitizer bottles of 500ml each and 8,750 RNA extraction kits are available in the state. “We have placed orders for 10,000 more PPE kits. It is expected that the PPE kits will reach the state within a day or two,” he said.||http://timesofindia.indiatimes.com//city/patna/5-more-hospitals-earmarked-for-tests/articleshow/75414227.cms||Faryal Rumi
April 28, 2020||Mysuru||VTU asks colleges to appoint counsellors to help students||Mysuru: Visvesvaraya Technological University (VTU) has instructed its affiliated colleges to open counselling centres to help students who might be feeling anxious and stressed out as all academic and placement activities have been disrupted due to lockdown. All colleges have been told to appoint counsellors who will closely monitor the mental wellbeing of students and be available to them to clear their doubts. A direction in this regard was issued by vice-chancellor Karisiddappa at a meeting with the principals of all engineering colleges through video conference. University registrar AS Deshpande and registrar (evaluation) Satish Annigeri also participated in the meeting. Over 3.5 lakh students are studying in 219 affiliated institutes of VTU, the state’s biggest university. “Students are confused due to Covid-19 situation . As they are at their homes and no friends around, there is a possibility that they are stressed out. We want the colleges to appoint expert counsellors who can help students to cope with challenges and stress,” Karisidddappa told TOI. “Many students pursing engineering course with educational loan. We don’t want any one to suffer from any kind of stress,” he added. Students have welcomed the move by the VTU. “The biggest question the final year students are facing is whether the companies that have chosen them in campus placement will honour their offer letters. Many things can’t be discussed with friends or parents. In such a situation counsellors will be very helpful,” said Rajath P, a final year student from an engineering college. Sulochana A , a career counsellor said, the VTU’s decision should be followed by the other universities and colleges also. “This is a testing time. Students need counsellors’ support to overcome their anxiety,” she said.||http://timesofindia.indiatimes.com//city/mysuru/vtu-asks-colleges-to-appoint-counsellors-to-help-students/articleshow/75415179.cms||---
April 28, 2020||Patna||As trucks roll, ‘dhabas’ & repair shops open up||PATNA: Dhabas (roadside eateries) and vehicle repair shops dotting the state and national highways in Bihar have reopened following the state government’s permission adhering to the Centre’s decision to allow movement of goods through roadways. According to data available on the Union ministry of road transport and highways website, altogether 171 dhabas and vehicle repair shops in Bihar have got the nod to continue services amid lockdown. Of these 47 are on highways connecting Patna. The Union ministry has also created a page dedicated to information related to repair shops and dhabas across the state. Details, including name of the dhaba or repair shop, address, name of the owners and contact number are all available on the site. State transport secretary Sanjay Kumar Agarwal said dhabas have been opened for the convenience of truck drivers ferrying the goods. “Tens of hundreds of drivers are involved in carrying essential goods via roadways and dhabas are extremely important for them as they do not have any other way of having a meal. These eateries are providing all facilities, including takeaway services for food and toilet facilities among others. Hygiene and social distancing norms have been issued to the dhaba-owners by the district administration,” said Agarwal, who is also the divisional commissioner of Patna. Patna DM Kumar Ravi has also issued a slew of directives for the dhabas to follow while resuming services. “Dhabas located on the highways at a distance of 10 kilometres from the city have only been directed to remain open,” he said. Dhaba owners are elated to resume work despite receiving almost 50% less customers. Nasib Sah, a dhaba owner near toll plaza in Didarganj, who resumed services on April 21, said, “I am receiving 25-30 customers on a daily basis, which is 50% less than what I used to receive before the lockdown was imposed but at least I am generating some income,” he said. Some dhaba owners, however, said they have shut their dhabas following heavy losses due to lack of customers. Rakesh Kumar, owner of a dhaba at NH 333, said he was forced to shut his dhaba again on Monday as he was receiving less than five customers every day. “Keeping the dhaba open means paying the workers, which is not possible for me right now,” he added.||http://timesofindia.indiatimes.com//city/patna/as-trucks-roll-dhabas-repair-shops-open-up/articleshow/75414392.cms||Archi Rani
April 28, 2020||Patna||Tiger tracker makes VTR his home amid lockdown||PATNA: Even as many people in jobs are working from home owing to the nationwide lockdown due to Covid-19 pandemic, the forest officers and guards are on their toes to prevent trespassers from entering the reserve area and keeping the animals safe. Mahesh Mahto (35), a tiger tracker in Shaktinala team posted at Bihar’s lone tiger reserve -- Valmiki Tiger Reserve (VTR) — has not gone home ever since the nationwide lockdown was announced on March 25. He, along with other 49 forest officials, are taking care of animals and stopping illegal movement of people to prevent poaching and possible spread of Covid-19. Mahto said on Monday that sighting of tigers in reserve area has increased because of no tourists nowadays. “We keep a track on the movement of tigers and other wild animals and their health. If anything goes wrong with any animal, we inform the range officer. VTR is home to a large number of wild animals, such as tigers, leopard and chital among others. Guarding them from poachers is our duty,” he said. “We get dry ration from the state government once a week. We cook ourselves and do our duty for more than eight hours per day and sleep in control room,” he added. With weak or no mobile phone network in the dense forests, internet and all kinds of entertainment are ruled out for these forest staff. Mahto said his wife Sona Devi and three kids -- Dharmendra (14), Sanu Kumari (8) and Dhanu Kumari (6) — are at home. “Most of the time, there is no network connectivity and it is impossible to make a video call. I talk to them over phone, when I go to the hilly areas. The villagers in my native place in Harnatar are very cooperative. I assure them that I would be back as soon as the lockdown is lifted,” he said. “Staying here in VTR is safe rather than going home and coming back again. In this way, I won’t get infected,” Mahto said.||http://timesofindia.indiatimes.com//city/patna/tiger-tracker-makes-vtr-his-home-amid-lockdown/articleshow/75414289.cms||Faryal Rumi
April 28, 2020||Surat||Fighting fit, Covid warrior doc wants to join duty in civil hospital||Surat: He returned home two days ago, battling the dreaded virus as a patient. Now, the doctor is rearing to go back to his duty at the Civil Hospital in Bharuch to fight his half-done battle with coronavirus. Dr Brijesh Narola, 28, a lone gynaecologist in the hospital has urged the authorities to allow him to join duty and serve patients requiring his services during lockdown. He had tested positive for Covid-19 on April 17 and after testing negative twice was discharged from the Jayaben Modi hospital on April 25. According to the protocol, a patient must remain under home quarantine for 14 days. However, Dr Narola, who has also offered to donate his plasma for the critical patients suffering from the infection, wants to return to his frontline duties in order to serve poor patients. Well-versed about the difficulties faced by the pregnant women during the lockdown, Dr Narola said, “I can’t wait for 14 days in home quarantine to get over. If a doctor remains in the house, who is going to treat the poor patients visiting the civil hospital! My wife is facing health issues as she is in the last days of her pregnancy. Being a gynaecologist, I give her advice on phone and suggest medicines. But the poor patients from rural areas have no other option but to visit the civil hospital.” Dr Narola, who had no symptoms of the virus, but attended to a pregnant security guard at the civil hospital on April 14. The security guard had tested positive for the virus on April 16. “I have dual purpose to rejoin duty. First is to regain confidence of my patients that I am fine and healthy and secondly to serve the poor patients, especially those from rural areas who require my services in the period of crisis,” he said. Dr Narola lives alone in Bharuch’s Zadeshwar area as in March, his wife, Sejal, had gone to her parental home in Surat’s Katargam area for her delivery which is due on May 15. “On an average about 15 patients visit the civil hospital during the lockdown. The hospital’s OPD was shut after seven staff members were tested positive for coronavirus. In the last few days, the hospital has been made operational and I am told that the patients are returning home in my absence.” A senior doctor at Civil hospital in Bharuch said on condition of anonymity: “We appreciate the spirit of the doctor, but we have to follow the protocols of home quarantine. Considering his appeal, we have sought permission from the higher authorities to get him back on duty as soon as possible.”||http://timesofindia.indiatimes.com//city/surat/fighting-fit-covid-warrior-doc-wants-to-join-duty-in-civil-hospital/articleshow/75416129.cms||---
