October 6, 2020||Goa||Donachie looking forward to FC Goa’s Asian challenge||PANAJI: FC Goa defender James Donachie is ready to make his towering presence felt this season. The Australian centre-back is a perfect replacement for Senegalese Mourtada Fall, who followed former coach Sergio Lobera to Mumbai City FC. But more importantly, it is Donachie’s vast experience in the AFC Champions League that FC Goa stand to benefit. The 27-year-old has played in the Champions League for Melbourne Victory and Brisbane Roar. He now wants to leave a mark with FC Goa, who finished as league toppers last season and created history to become the first team from India to feature in Asia’s premier competition. “I like to play in that tournament (AFC Champions League) because you get to play against the best teams in Asia, especially from Japan and Korea. I’m really looking forward to try and do something in that tournament because it’s the first time an Indian team has qualified, so if we can go a long way it will be a big deal,” Donachie said during an online interaction arranged by the club on Monday. The former Australia U-23 player had never imagined playing in India, so soon in his career. He had left Melbourne Victory and signed a three-year deal with the Newcastle Jets, but was loaned to FC Goa after the Coronavirus pandemic prompted A-League clubs to reduce their budgets. He will be the fifth player to join Indian Super League (ISL) clubs from the A-League this season after Gary Hooper (Kerala Blasters), Brad Inman (ATK Mohun Bagan), Jacob Tratt (Odisha FC) and Joel Chianese (Hyderabad FC). Donachie has also played in South Korea for Jeonnan Dragons and has always wanted to play in Europe in the Premier League or the Championship. “It is still a dream of mine, but I don’t think going to Goa is something that will hurt my career. I can play lots of games that will benefit me. I’m hoping to get there with the team at least four to five weeks before the season starts to know the players,” said Donachie. FC Goa have already started their pre-season last week and are waiting for new coach Juan Ferrando and other new signings to arrive. Donachie is also waiting to fly and is mentally prepared to undergo his fourth quarantine in Goa after already going through the process in Australia on three separate occasions. The defender is aware of FC Goa’s attacking style of play and is comfortable with the ball at his feet. He will be a guiding force and will partner Ivan Gonzalez, a Real Madrid youth product. “In my last few years I have been an aggressive centre-back, but also someone who likes to coach on the field. Organising people I think it is a big thing because in the Asian Champions League sometimes you can’t always attack,” said Donachie.||http://timesofindia.indiatimes.com//city/goa/donachie-looking-forward-to-fc-goas-asian-challenge/articleshow/78503310.cms||FLAVIO LOPES
October 6, 2020||India||Covid-19: India cases falling for 3 weeks but big surge in Kerala, Chhattisgarh||India has been reporting a steady decline in daily Covid-19 cases over the past three weeks but fresh infections in Kerala rose by 112% during this period, at three times the national rate, while Chhattisgarh saw a 93% rise, Uttarakhand 61%, and Odisha and MP 54%.  !function(){"use strict";window.addEventListener("message",(function(a){if(void 0!==a.data["datawrapper-height"])for(var e in a.data["datawrapper-height"]){var t=document.getElementById("datawrapper-chart-"+e)||document.querySelector("iframe[src*='"+e+"']");t&&(t.style.height=a.data["datawrapper-height"][e]+"px")}}))}(); India registered a 37% growth in cases during September 13-October 4, a decline from the 56% growth in the previous three weeks. Daily cases in the country had peaked around September 13. Since then, as many as 21 states and UTs have grown at a higher rate than the national average, indicating that the country may continue to see the pandemic surging in some parts of the country while cases fall in other places. At the other end of the list was Bihar, where cases have grown at around half the national rate (19%) in the past three weeks - the lowest growth registered by any state. The next lowest growth was in Tamil Nadu, where cases grew by 23%, followed by Gujarat (26%), Andhra Pradesh (27%), Telangana (27%) and Assam (32%). In the middle were the two worst hit states - Maharashtra that grew at 36% (fractionally lower than the national average) and Karnataka, which grew at 39%, a shade higher than India's rate. Meanwhile, 59,471 fresh cases were recorded on Monday, the first time since August 24 that the daily count had fallen below the 60,000 mark. While case counts dip every Monday, the number has been progressively decreasing over the past four Mondays - 80,663 on September 14, 73,279 on September 21 and 66,251 on September 28. In another pointer to the pandemic's sharp surge in Kerala, the state now has the highest number of active cases per million population in the country, with 2,421 cases per million as against 2,297 in Maharashtra, 1,845 in Karnataka and 1,503 in Delhi. (With inputs from Preetu Nair in Kochi)Watch Covid-19: India cases falling for 3 weeks but big surge in Kerala, Chhattisgarh||http://timesofindia.indiatimes.com//india/covid-19-india-cases-falling-for-3-weeks-but-big-surge-in-kerala-chhattisgarh/articleshow/78503724.cms||---
October 6, 2020||India||MEA slams UN official’s remark on rape cases||NEW DELHI: India on Monday termed the United Nations Resident Coordinator's comments on recent cases of sexual violence against women "unwarranted", saying any unnecessary comments by an external agency are best avoided when probe is going on. "Some unwarranted comments have been made by the UN Resident Coordinator regarding some recent cases of violence against women. The UN Resident Coordinator in India should be aware that these cases have been taken extremely seriously by the government," said MEA spokesperson Anurag Srivastava. The UN statement had referred to the Hathras and Balrampur cases. "Since the investigation process is still underway, any unnecessary comments by an external agency are best avoided. The Constitution guarantees equality to all citizens of India. As a democracy we have a time-tested record of providing justice to all sections of our society," said Srivastava. Srivastava was responding to a media query on the UN Resident Coordinator's statement which said it was essential that authorities ensure the perpetrators are brought to justice speedily and that families be empowered to seek timely justice, social support, counselling, healthcare and rehabilitation. "The UN in India is profoundly saddened and concerned at the continuing cases of sexual violence against women and girls in India. The recent cases of alleged rape and murder in Hathras and Balarampur are another reminder that despite the impressive progress made on a number of social indicators, women and girls from disadvantaged social groups face additional vulnerabilities and are at greater risk of gender-based violence," said the UN Resident Coordinator in India in a statement. Though the UN welcomed the steps being taken by India to strengthen safety measures for women and girls, it said, "Entrenched social norms and behaviour of men and boys that lead to gender-based violence must be addressed." Watch MEA slams UN Resident Coordinator's remark on rape cases||http://timesofindia.indiatimes.com//india/mea-slams-un-officials-remark-on-rape-cases/articleshow/78503891.cms||---
October 6, 2020||India||Non-BJP states examine options to fight farm laws||NEW DELHI: Even as the three Congress-ruled states of Punjab, Rajasthan and Chhattisgarh are mulling on calling special sessions of the state assembly to override the three Central farm Acts, many other states with non-BJP governments are upping the ante against these laws as farmers take to the streets. Maharashtra CM Uddhav Thackeray has set up a cabinet subcommittee to examine all aspects of the new laws and the stand the state government should take - on whether the legislations should be implemented in the state or otherwise. Public works minister Ashok Chavan told cabinet that the state government should invoke the provisions of Article 254(2) and submit a report to the central government. Naveen Patnaik-led BJD in Odisha has announced forming a committee of MPs, MLAs and farmer leaders to study the laws and suggest what the state should do. Sources in the West Bengal government said the state would wait for the Supreme Court ruling, with Congress MP from Kerala TN Prathapan moving the apex court challenging the provisions of the laws. The Kerala cabinet has entrusted the state planning board to prepare a report on the requirements and shortcomings from the point of view of farmers. The government will then take a call, including that on whether to approach the Supreme Court. Kerala law secretary has been asked by the cabinet to study the Acts and file a report on possible legal steps. Telangana chief minister K Chandrasekhar Rao is working on a new agriculture marketing policy which will allow the state to act as an intermediary between farmers and buyers. The move comes in the wake of Parliament passing The Farmers' Produce Trade and Commerce (Promotion and Facilitation) Bill which allows farmers and traders to freely trade among themselves anywhere in the country. Sources told that the new farm laws don't explicitly bar states from acting as intermediaries which the Telangana government hopes to take advantage of.||http://timesofindia.indiatimes.com//india/non-bjp-states-examine-options-to-fight-farm-laws/articleshow/78503922.cms||---
October 6, 2020||India||Cases of crimes against senior citizens rising, pendency in 2019 at 88%||NEW DELHI: As many as 28,104 senior citizens above 60 years became victims of various crimes during 2019. In absolute numbers the cases reported rose from 24,349 in 2018 to 27,696 in 2019. However, the status of trial in courts reflects that as many as 62,076 cases involving crimes against senior citizens from previous years too were pending trial at the end of last year putting the case pendency at 87.9%. The conviction rate was 33.9%. This data released as part of the Crime in India 2019 report shows that out of the 27,696 cases of crime against senior citizens, Maharashtra reported 6,163 cases, the highest number of cases among states, accounting for 22.3% of the total cases from all states and Union Territories. Incidentally, Maharashtra reported the highest number of cases in 2018 (5,961) and in 2017 (5,321) too. Last year, Madhya Pradesh reported the second highest number of cases accounting for 15.1% of total cases (4,184) followed by Gujarat which accounted for 14.8% (4,088) cases. In terms of status of cases in courts, trial was completed in 6,837 cases and courts disposed 8,554 cases last year. The data puts the number of persons convicted in crimes against the elderly at 3,279. The report sheds light on the vulnerability of senior citizens to a wide range of crimes and how elderly women too face threat from sexual predators. As many as 63 cases involving rape of women above 60 years were reported and the highest number of victims were from Kerala (15) followed by eight each from Chhattisgarh and MP. As many as 187 cases involving 191 elderly women were registered under the sections of the Indian Penal Code that falls in the category of "intent to outrage the modesty of a women". The maximum cases were reported from Maharashtra (43) followed by 35 cases involving 38 victims from Karnataka and 32 cases involving 33 victims from Kerala. Last year alone 1,156 murder cases involving 1,199 victims were reported in addition to 430 attempt to murder cases where 442 seniors faced assault. Maximum cases of murder were reported from Uttar Pradesh involving 209 victims followed by Tamil Nadu (177 victims) and Maharashtra (162). The data also shows that 2,758 cases were registered involving 2,786 senior citizens who fell victim to forgery, cheating and fraud. Besides this 4,971 cases involving 4,973 victims of theft and 906 cases involving 915 victims of robbery were also reported. Many seniors also faced criminal intimidation. As many as 2,758 cases involving 2,786 victims were reported.||http://timesofindia.indiatimes.com//india/cases-of-crimes-against-senior-citizens-rising-pendency-in-2019-at-88/articleshow/78504057.cms||Ambika Pandit
October 6, 2020||Business||SC query on Mallya ‘secret proceedings’ holding up extradition||NEW DELHI: The Supreme Court on Monday asked Vijay Mallya's counsel to reveal the nature of 'secret proceedings' in UK which is holding up his court-cleared extradition to India and also to inform as to when the fugitive liquor baron would appear before it to get sentenced in a contempt of court case, in which he was found guilty in May 2017. A bench of Justices U U Lalit and Ashok Bhushan acted tough with Mallya's lawyer Ankur Sehgal, who attempted to evade by resorting to "I am not aware or I have read it in the newspaper" statements. The bench said, "We will not take any 'I am not aware of' argument from you in the next hearing. You have been appearing for Mallya and you shall appear in future too. When you appear before us on the next date, we want you to be completely aware of what is happening in UK." Sehgal said he would take instructions from his client. The bench fixed November 2 for appearance of Mallya before it for quantification of punishment. He was found guilty of contempt on May 9, 2017 for not honouring the SC's repeated orders to make a truthful disclosure of his assets. He had not revealed the transfer of $40 million, which he received from Diageo Plc for stepping down as chairman of United Spirits Ltd, to his children living abroad. The SC asked Mallya's counsel to inform on November 2 the nature of the ongoing proceedings in UK that is stalling his extradition; when are these proceedings likely to conclude; and when is Mallya likely to appear before the SC for the purpose of sentencing. The bench, which had on September 23 asked the Union government to ensure Mallya's presence in the court on October 5, was informed by ministry of home affairs that request for his extradition was forwarded to UK on February 9, 2017. Senior district jJudge, Westminster Magistrates' Court, London, recommended Mallya's extradition to India. Mallya's appeal against extradition was rejected by UK HC on April 20 this year. On May 14, the HC also refused Mallya permission to appeal in UK SC. The process of extradition should have been completed within 28 days of the HC's last order which had signalled the end of the judicial process. Solicitor general Tushar Mehta and advocate Rajat Nair informed the SC that "some secret proceedings to which India is not a party is holding up the extradition".||http://timesofindia.indiatimes.com//business/india-business/sc-query-on-mallya-secret-proceedings-holding-up-extradition/articleshow/78504125.cms||Dhananjay Mahapatra
October 6, 2020||Jamshedpur||Liquor mafia active in Jhakhand after announcement of Bihar polls||JAMSHEDPUR: Soon after the Election Commision announced the dates for Bihar assembly polls, liquor mafia in Jharkhand have become active keeping in mind the high demand in neighbouring dry states. The liquor smugglers in districts of Jharkhand, especially those on the bordering areas of Bihar, are on the constant look out for new routes through which liquor consignments can be pushed in as demand has shot up to lure voters. Sources said liquor mafia in 10 districts of Jharkhand (Palamu, Chatra, Hazaribag, Koderma, Giridih, Deoghar, Dumka, Godda and Sahibganj) are getting orders on Whatsapp. The consignments are being smuggled through porous borders, mostly in forest areas, in the middle of the night .Sources said the other route which is being used is river banks. Such places are hardly under surveillance during night time. Liquor cartons are also hidden under stone chips or sand bags and loaded on trucks and then ferried across the border. Consignments are ferried across Sone on boats at night and then loaded on trucks carrying sand from river bed, said sources. Sources said liquor from Koderma area is sent through the forest areas to Patna, Muzaffarpur and districts of north Bihar. Liquor from Palamu and Garhwa is sent to Rohtas and Aurangabad. Hazaribag is known as a ‘silk route’ for liquor mafias. From here, liquor is sent to Bihar even in small private cars to prevent any kind of checking. Many a times in the past police have raided illegal liquor factories in the area. In Chatra, more than two dozen villages, earn their livelihood through liquor manufacturing and supply in neighbouring Bihar. Most of the illegal breweries are run in dense forest areas. Sources said in Deoghar, before the lockdown, liquor used to be smuggled on trains to Bihar but after closure of train services, consignments are being sent by road. Giridih liquor is sent to Jamui in Bihar. Jharkhand police during anti-Red operations have bumped on illegal breweries in forest areas. Police believe that there is a possible Maoist hand in the smuggling of liquor across the border. Recently a drive was carried out by Koderma SP Ehtesham in the forest area. “During the raids many breweries were destroyed,” SP said.||http://timesofindia.indiatimes.com//city/jamshedpur/liquor-mafia-active-in-jhakhand-after-announcement-of-bihar-polls/articleshow/78512247.cms||Debasish Chatterjee
October 6, 2020||Patna||Workers back home produce designer garments in Supaul||PATNA: Afroz, who returned from Delhi in July after working in a garment factory there for years, hardly expected that a small but profitable venture without any investment was waiting for him in his hometown Supaul. He is, one among the 18 labourers like him, busy producing designer garments which are in huge demand in many other states. Other workers with him had returned from Jaipur, Kolkata and Mumbai after losing their jobs during the lockdown. “Today, each of us is earning between Rs10,000 and 15,000 per month,” said Afroz. It became possible after they set up a cluster of workers having returned home with expertise in tailoring and designer garments. They formed Kosi Migrant Garments Club (KMGC) under the corporate social responsibility by the Bihar State Building Construction Corporation Limited (BSBCCL) last month. “We provided them space, machines and raw materials and supported them to produce garments, which are in huge demand both within and outside the state,” said a BSBCCL official. The KMGC has got orders to supply jackets, mosquito nets, quilt covers, masks, children’s wear and ladies garments from Delhi, Ludhiana, Kolkata and also some districts in the state, he said. The KMGC may include more workers in case of getting higher number of orders. “Though they are branding their garments as KMGC, they would have liberty to select other brand name in consultation with the district administration concerned,” the official said. A senior official in Supaul said the skill mapping of the home returned workers in the district revealed that 8000 of them had expertise in tailoring and embroidery. With the beginning of the KMGC, the district administration arranged their meeting with local wholesale dealers and it helped them explore wide markets. “The district administration has also contacted a famous garment producer of Jaipur in Rajasthan, who hails from Bihar, to help in setting up a garment industry in Basantpur panchayat of the district. He is likely to visit the district soon,” he said. He said hundreds of tailoring workers of Basantpur were engaged in other states. “Now they are looking for employment opportunities in the home district,” said the official.||http://timesofindia.indiatimes.com//city/patna/workers-back-home-produce-designer-garments-in-supaul/articleshow/78499487.cms||---
October 6, 2020||Patna||Bihar elections: Demand for ‘crowd-pulling’ choppers dips||PATNA: The use of helicopters, which acted as a major crowd-puller during elections in rural Bihar, has taken a back seat this year because political parties are focusing on digital electioneering and door-to-door campaigning amid the Covid-19 pandemic. As a result, the business of private aviation companies has been hit hard. According to Anshu Aman, whose company provides choppers to political parties during polls, not more than 10 helicopters will be booked for electioneering in view of the pandemic. “In the 2015 assembly polls, 32 helicopters and chartered planes were booked by different parties. This year we have received only few inquiries, but no bookings have been done so far,” Aman told this newspaper. He added, “One has to pay anywhere between Rs 80,000 and Rs 1 lakh for flying in a single-engine chopper on an hourly basis. For using a multi-engine fixed wing helicopter, one pays anywhere between Rs 1.8 lakh and 4 lakh, depending on the company and engine model.” Devendra Kumar, the incharge of another aviation company that provides choppers and chartered aircraft, claimed that no inquiry had been made by any party yet. “The RJD, JD (U) and JAP had booked six or seven helicopters and few chartered planes last time. This year, however, their demand is likely to dip,” he said. The Airports Authority of India-Patna also pointed out that the apron of the Jayaprakash Narayan International Airport was crowded with helicopters, private jets and chartered aircraft during the previous . Meanwhile, political parties are relying on door-to-door campaigning, digital speeches and high-tech electioneering. Congress functionary Anand Madhav said, “Most of our candidates will do door-to-door campaigning. Only some big leaders from Delhi will hire choppers or private aircraft to come here.” RJD general secretary Chitranjan Gagan also claimed that only important leaders were likely to use choppers to meet party workers and oversee electioneering in different constituencies. “A decision in this regard will be taken in the next three to four days,” he added. The BJP and JD (U), on the other hand, have decided not to hire helicopters this year. They will opt for digital and door-to-door campaigning in order to follow social distancing norms amid the pandemic.||http://timesofindia.indiatimes.com//city/patna/demand-for-crowd-pulling-choppers-dips/articleshow/78508208.cms||Faryal Rumi
October 6, 2020||Patna||BJP- LJP will form next govt in Bihar: Chirag Paswan||PATNA: A day after severing ties with JD (U), LJP chief Chirag Paswan stated on Monday that the next government will be formed by BJP-LJP under the saffron party’s leadership guided by PM Narendra Modi. Chirag also appealed to voters not to vote for JD(U). “There are various ideological differences between LJP and JD (U). Whether it is their Seven Resolves scheme or their behaviour towards allies or rampant babudom in Bihar, the problems of people in the state are not getting resolved either by the officers or the CM. ‘Bihar First, Bihari First’ vision document has been prepared to resolve all such issues,” Chirag’s statement read. He added, “I am happy that the party has decided to contest the election against JD (U). The decision is not to rule Bihar but to be proud of Bihar. I know many people will try to spread rumours regarding my decision but I want to make it clear that the next government will be formed by BJP-LJP under the leadership of BJP.” Later in the evening, asked if LJP is making a mistake fighting the election in alliance with BJP, Chirag told a news agency in New Delhi, “Every political party is free to take its own decision. I don’t want to make any comment on behalf of BJP. However, I would reassert my decision that I have complete faith in PM Narendra Modi.” He said the “double-engine government” will fuel development in Bihar and it will happen in a better way if the government here will be formed under the leadership of BJP. Asked whether he would seek votes for his party in the name of PM Modi, Chirag said, “As a citizen of this country, it is my responsibility to take the message of the works done by PM Modi to the people.” To a question on whether there will be confused if both JD (U) and LJP will seek votes in PM Modi’s name, Chirag said, “It is good for democracy that people get options. It had remained a constraint for Bihar.” On being asked whether BJP held negotiations with LJP to be part of NDA, Chirag said, “Bihar First, Bihari First vision document has been my priority and I got the inspiration for the same from PM Modi. I only demanded that it should be incorporated in the common minimum programme of the NDA. There was no demand from LJP on a higher number of seats.” On Nitish, Chirag said, “I am not miffed with any person but I am concerned about the way development has happened in Bihar, including the massive problem of migration. Everybody, including me as a Bihari, had high hopes from the CM but if you see his government from 2005 to date, then I don’t think he has been able to fulfil the aspirations of people.” On being asked about the possibility of a post-poll alliance, Chirag said: “We have never done post-poll alliance; it was always pre-poll alliance.”||http://timesofindia.indiatimes.com//city/patna/bjp-ljp-will-form-next-govt-in-bihar-chirag/articleshow/78508327.cms||---
October 6, 2020||---||BJP- LJP will form next govt in Bihar: Chirag Paswan||PATNA: A day after severing ties with JD (U), LJP chief Chirag Paswan stated on Monday that the next government will be formed by BJP-LJP under the saffron party’s leadership guided by PM Narendra Modi. Chirag also appealed to voters not to vote for JD(U). “There are various ideological differences between LJP and JD (U). Whether it is their Seven Resolves scheme or their behaviour towards allies or rampant babudom in Bihar, the problems of people in the state are not getting resolved either by the officers or the CM. ‘Bihar First, Bihari First’ vision document has been prepared to resolve all such issues,” Chirag’s statement read. He added, “I am happy that the party has decided to contest the election against JD (U). The decision is not to rule Bihar but to be proud of Bihar. I know many people will try to spread rumours regarding my decision but I want to make it clear that the next government will be formed by BJP-LJP under the leadership of BJP.” Later in the evening, asked if LJP is making a mistake fighting the election in alliance with BJP, Chirag told a news agency in New Delhi, “Every political party is free to take its own decision. I don’t want to make any comment on behalf of BJP. However, I would reassert my decision that I have complete faith in PM Narendra Modi.” He said the “double-engine government” will fuel development in Bihar and it will happen in a better way if the government here will be formed under the leadership of BJP. Asked whether he would seek votes for his party in the name of PM Modi, Chirag said, “As a citizen of this country, it is my responsibility to take the message of the works done by PM Modi to the people.” To a question on whether there will be confused if both JD (U) and LJP will seek votes in PM Modi’s name, Chirag said, “It is good for democracy that people get options. It had remained a constraint for Bihar.” On being asked whether BJP held negotiations with LJP to be part of NDA, Chirag said, “Bihar First, Bihari First vision document has been my priority and I got the inspiration for the same from PM Modi. I only demanded that it should be incorporated in the common minimum programme of the NDA. There was no demand from LJP on a higher number of seats.” On Nitish, Chirag said, “I am not miffed with any person but I am concerned about the way development has happened in Bihar, including the massive problem of migration. Everybody, including me as a Bihari, had high hopes from the CM but if you see his government from 2005 to date, then I don’t think he has been able to fulfil the aspirations of people.” On being asked about the possibility of a post-poll alliance, Chirag said: “We have never done post-poll alliance; it was always pre-poll alliance.”||http://timesofindia.indiatimes.com//elections/assembly-elections/bihar-assembly-elections-2020/bjp-ljp-will-form-next-govt-in-bihar-chirag/articleshow/78500460.cms||---
